Sentence_ID,Token,POS,Selected_Synset,FOL_Predicate
1,Artificial,JJ,artificial.a.01,artificial
1,intelligence,NN,intelligence.n.01,intelligence
1,is,VBZ,be.v.02,be
1,electronic,JJ,electronic.a.01,electronic
1,implementation,NN,implementation.n.02,implementation
1,human,JJ,human.a.01,human
1,intellectual,JJ,intellectual.s.01,intellectual
1,capabilities,NNS,capability.n.01,capability
2,Artificial,JJ,artificial.a.01,artificial
2,intelligence,NN,intelligence.n.01,intelligence
2,system,NN,system.n.01,system
2,is,VBZ,be.v.02,be
2,machine-based,JJ,machine.n.01,machine_based
2,system,NN,system.n.01,system
2,designed,VBN,design.v.02,design
2,perform,VB,perform.v.02,perform
2,artificial,JJ,artificial.a.01,artificial
2,intelligence,NN,intelligence.n.01,intelligence
2,capabilities,NNS,capability.n.01,capability
2,varying,VBG,varying.s.01,varying
2,levels,NNS,degree.n.01,level
2,autonomy,NN,autonomy.n.02,autonomy
3,Developer,NNP,developer.n.01,developer
3,is,VBZ,be.v.02,be
3,organization,NN,organization.n.01,organization
3,individual,JJ,person.n.01,individual
3,designs,VBZ,design.n.01,design
3,builds,NNS,construct.v.01,build
3,trains,VBZ,train.v.01,train
3,tests,NNS,test.n.05,test
3,fine-tunes,NNS,fine-tune.v.02,fine_tune
3,artificial,JJ,artificial.a.01,artificial
3,intelligence,NN,intelligence.n.01,intelligence
3,system,NN,system.n.01,system
4,Provider,NN,supplier.n.01,provider
4,is,VBZ,be.v.02,be
4,organization,NN,organization.n.01,organization
4,individual,JJ,person.n.01,individual
4,brings,VBZ,bring.v.01,bring
4,artificial,JJ,artificial.a.01,artificial
4,intelligence,NN,intelligence.n.01,intelligence
4,system,NN,system.n.01,system
4,market,NN,market.n.01,market
5,User,NNP,user.n.01,user
5,is,VBZ,be.v.02,be
5,organization,NN,organization.n.01,organization
5,individual,JJ,person.n.01,individual
5,interacts,VBZ,interact.v.01,interact
5,artificial,JJ,artificial.a.01,artificial
5,intelligence,NN,intelligence.n.01,intelligence
5,system,NN,system.n.01,system
6,Serious,JJ,serious.s.01,serious
6,incident,NN,incident.n.01,incident
6,is,VBZ,be.v.02,be
6,event,NN,event.n.01,event
6,occurring,VBG,happen.v.01,occur
6,operation,NN,operation.n.01,operation
6,artificial,JJ,artificial.a.01,artificial
6,intelligence,NN,intelligence.n.01,intelligence
6,system,NN,system.n.01,system
6,causes,VBZ,cause.n.01,cause
6,significant,JJ,significant.a.01,significant
6,damage,NN,damage.n.01,damage
6,human,JJ,human.a.01,human
6,life,NN,life.n.01,life